"Print Packing Slip","Print Packing Slip"
"Print Label","Print Label"
"Waiting for Shipment","Waiting for Shipment"
"Waiting for Label","Waiting for Label"
"Ready","Ready"
"You created the shipping label.","You created the shipping label."
"The shipment has been created.","The shipment has been created."
"Please correct the data sent.","Please correct the data sent."
"Order is already shipped, can not update weight.","Order is already shipped, can not update weight."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"All Store Views","All Store Views"
"Order %1","Order %1"
"Create Shipments and print Labels","Create Shipments and Labels"
"Shipping status after creation","Shipment status after creation"
"Deposit %1","Deposit %1"
"Date: %1","Date: %1"
"Company:","Company:"
"Packages","Packages"
"Summary","Summary"
"Total","Total"
"Print Deposit File","Print Deposit File"
"Default Packaging weight","Default Packaging weight"
"Packaging Weight","Packaging weight"
"Shipping Labels","Shipping Labels"
"Shipper name","Shipper name"
"Appears on the labels. Default store name if empty.","Appears on the labels. Default store name if empty."
"Address (LCC)","Address (LCC)"
"Return Type","Return Type"
"Missing Return type","Missing Return type"
